id,name,album,genres,artist,release_date,popularity,duration_ms,explicit,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_score,multiplier,music_score,breathing_score
26TX1oZbaDeKxfTYDclSAo,2AM,TAKE CARE,southern hip hop,BigXthaPlug,2024-10-11,69,184133,True,https://open.spotify.com/track/26TX1oZbaDeKxfTYDclSAo,0.884,0.681,8,-5.839,1,0.149,0.0439,0.0,0.277,0.324,114.991,4,0.8695259736147017,0.9582583333333333,0.4099479166666666,0.7163332879653567
3dj4wgM3cPeuLwMNHDuBon,The Door,I've Tried Everything But Therapy (Part 1),,Teddy Swims,2023-09-15,86,212648,False,https://open.spotify.com/track/3dj4wgM3cPeuLwMNHDuBon,0.731,0.861,8,-5.483,0,0.0532,0.0193,0.0,0.123,0.759,127.922,4,0.8144019985129363,1.0660166666666666,0.4898395833333333,0.7062145267864018
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),I Had Some Help,"dfw rap, melodic rap, pop, rap","Post Malone, Morgan Wallen",2024-05-10,85,178205,True,https://open.spotify.com/track/7221xIgOnuakPdLqT0F3nP,0.638,0.855,7,-4.86,1,0.0264,0.00757,0.0,0.245,0.731,127.986,4,0.8129942601028175,1.06655,0.48664625,0.7042115900685451
5G2f63n7IPVPPjfNIGih7Q,Taste,Short n' Sweet,pop,Sabrina Carpenter,2024-08-23,94,157279,False,https://open.spotify.com/track/5G2f63n7IPVPPjfNIGih7Q,0.674,0.907,3,-4.086,1,0.064,0.101,0.0,0.297,0.721,112.964,4,0.8133307337667349,0.9413666666666667,0.47648749999999995,0.70104965584449
0y5Ex8oQ8zCH5TQxHUy1Eo,you look like you love me (feat. Riley Green),you look like you love me (feat. Riley Green),modern country pop,"Ella Langley, Riley Green",2024-06-21,76,224280,False,https://open.spotify.com/track/0y5Ex8oQ8zCH5TQxHUy1Eo,0.663,0.675,11,-5.851,1,0.0321,0.353,0.0,0.21,0.455,128.942,4,0.7921325110301216,1.0745166666666668,0.5162979166666667,0.7001876462423033
2ObBVRY8a2lnAkNG62u9eC,Beautiful As You,Beautiful As You,"contemporary country, country, country road, modern country rock",Thomas Rhett,2024-05-10,68,163894,False,https://open.spotify.com/track/2ObBVRY8a2lnAkNG62u9eC,0.722,0.725,9,-4.41,1,0.037,0.153,0.0,0.393,0.468,128.007,4,0.8125326526600991,1.0667250000000001,0.45881249999999996,0.6946259351067328
3WOhcATHxK2SLNeP5W3v1v,Guess featuring billie eilish,Guess featuring Billie Eilish,"art pop, candy pop, metropopolis, pop, uk pop","Charli xcx, Billie Eilish",2024-08-01,87,143330,False,https://open.spotify.com/track/3WOhcATHxK2SLNeP5W3v1v,0.776,0.667,7,-6.622,1,0.0983,0.0146,0.3,0.0761,0.618,130.019,4,0.7689977950039615,1.0834916666666667,0.5256041666666667,0.6878665855581966
2EKL77lwxvo615Ga7VjEUl,HIM ALL ALONG,HIM ALL ALONG,"atl hip hop, melodic rap, rap, trap",Gunna,2024-10-18,75,158666,True,https://open.spotify.com/track/2EKL77lwxvo615Ga7VjEUl,0.872,0.507,4,-6.323,0,0.072,0.195,0.0,0.111,0.506,130.007,4,0.7692534518231131,1.0833916666666668,0.5042020833333334,0.6809029956598532
4CkbpelT92r4dVkceDX9g1,Leave Me Alone,TAKE CARE,southern hip hop,BigXthaPlug,2024-10-11,71,143266,True,https://open.spotify.com/track/4CkbpelT92r4dVkceDX9g1,0.835,0.802,7,-4.286,1,0.243,0.0311,7.33e-06,0.0882,0.374,128.085,4,0.8108194359410038,1.067375,0.42068424958333334,0.6807743738217803
21B4gaTWnTkuSh77iWEXdS,Juno,Short n' Sweet,pop,Sabrina Carpenter,2024-08-23,87,223192,True,https://open.spotify.com/track/21B4gaTWnTkuSh77iWEXdS,0.633,0.725,5,-4.257,1,0.0427,0.0461,0.0,0.205,0.64,130.504,4,0.7587043490799581,1.0875333333333332,0.50118125,0.6728633160533054
